Date,Open,High,Low,Last,Close,Turnover,Trades
2021-03-01,840.75,860.95,836.45,850.0,851.5,509299916639999.94,77419
2021-03-02,857.4,876.5,852.25,869.7,872.55,441412393155000.0,64705
2021-03-03,880.45,944.9,872.85,916.0,915.35,1063111257040000.0,162581
2021-03-04,910.0,938.7,905.4,917.0,918.4,752781650130000.0,111078
2021-03-05,918.0,934.0,888.3,911.2,909.9,648579993870000.0,103409
2021-03-08,918.1,926.4,905.1,908.9,910.2,357164808685000.0,63631
2021-03-09,918.0,928.4,893.6,900.9,905.2,507197620235000.06,79060
2021-03-10,911.0,914.1,888.7,895.05,898.15,492479082414999.94,72031
2021-03-12,905.0,923.8,889.3,892.0,894.1,549445391410000.06,83542
2021-03-15,898.75,904.0,874.5,894.25,896.2,467414595535000.06,72245
2021-03-16,900.7,904.4,888.05,898.0,897.8,229099075594999.97,38728
2021-03-17,898.0,905.4,865.0,866.25,873.9,344071024375000.0,55924
2021-03-18,876.0,891.0,857.75,874.8,871.05,391798668650000.0,56225
2021-03-19,866.0,895.4,840.2,885.5,889.65,417466001365000.0,63473
2021-03-22,892.9,1003.0,883.45,992.5,991.05,2182339036820000.0,314562
2021-03-23,999.0,1086.7,991.05,1060.0,1058.4,3289320502180000.0,508458
2021-03-24,1063.0,1093.0,1018.4,1020.35,1025.45,2425412346100000.0,381907
2021-03-25,1032.95,1041.45,977.0,981.0,981.55,1314277060645000.0,213722
2021-03-26,1000.0,1018.45,978.0,989.3,988.3,932524662615000.0,128071
2021-03-30,1004.0,1042.45,988.0,1039.9,1031.55,1069083870170000.1,144844
2021-03-31,1038.0,1053.15,1016.6,1031.0,1031.15,665817070165000.0,101244
2021-04-01,1043.4,1116.05,1035.0,1104.65,1107.2,1375620323375000.0,216541
2021-04-05,1127.0,1150.0,1098.85,1141.0,1138.25,1780856357515000.2,298644
2021-04-06,1153.4,1241.0,1142.5,1222.6,1225.4,2587442615045000.0,357142
2021-04-07,1233.4,1251.6,1108.0,1157.9,1165.55,2719939614370000.0,456576
2021-04-08,1162.5,1191.0,1137.75,1159.95,1162.5,1449227468375000.0,255744
2021-04-09,1163.4,1228.0,1151.2,1202.3,1201.4,1546606215120000.0,264400
2021-04-12,1177.4,1177.4,1061.4,1068.0,1074.4,1512153159465000.0,290601
2021-04-13,1077.0,1116.3,1051.05,1102.0,1106.35,1325164577075000.0,257690
2021-04-15,1095.0,1144.9,1081.35,1124.0,1129.95,1045624967854999.9,187596
2021-04-16,1130.0,1192.0,1112.0,1156.4,1159.0,1240072951450000.0,196992
2021-04-19,1100.0,1153.0,1089.0,1134.0,1136.35,968141552004999.9,155220
