Date,symol,Open,High,Low,Last,Close,Turnover,Trades
01-03-2021,ONGC,114.3,117.65,113.5,117.65,117.05,4.84083E+14,183751
02-03-2021,ONGC,115.9,116.65,112.75,114.05,113.5,4.14869E+14,151356
03-03-2021,ONGC,114.05,115.8,113.2,114.25,114,2.21867E+14,86582
04-03-2021,ONGC,113.95,117,112.3,113,112.7,4.37696E+14,146333
05-03-2021,ONGC,116.25,118.25,113.5,115.4,114.95,6.7085E+14,229240
08-03-2021,ONGC,118.95,122.35,117.2,118.75,118.25,7.65056E+14,266985
09-03-2021,ONGC,119.4,119.55,114.2,117,116.75,3.12093E+14,113160
10-03-2021,ONGC,116.9,117,113.6,114.6,114.4,2.72872E+14,101031
12-03-2021,ONGC,116.75,117.4,114,115.2,115.05,2.39373E+14,92636
15-03-2021,ONGC,116,116.85,112.8,114.2,114.35,2.25325E+14,82735
16-03-2021,ONGC,113.8,116.3,113.45,115.4,115.1,2.38093E+14,74281
17-03-2021,ONGC,114.8,114.85,108.75,109.65,109.35,3.46709E+14,129182
18-03-2021,ONGC,110,112.2,107.5,109.85,110.2,2.93955E+14,100601
19-03-2021,ONGC,106.25,113.25,104.45,110.4,110.5,5.49693E+14,179428
22-03-2021,ONGC,110.5,111.25,108.55,109.5,109.6,1.73819E+14,69006
23-03-2021,ONGC,109.6,110.3,106.6,107.35,107.15,1.71361E+14,84665
24-03-2021,ONGC,105,106,102.85,105.5,104.8,3.24471E+14,137209
25-03-2021,ONGC,106,107.7,101.3,102,102,3.89439E+14,145265
26-03-2021,ONGC,103,104,100.25,102.65,102.4,2.71671E+14,119045
30-03-2021,ONGC,104.05,106.3,102.6,103.7,103.5,3.32434E+14,110924
31-03-2021,ONGC,102.8,104.2,101.9,102.2,102.15,2.01361E+14,82697
01-04-2021,ONGC,103,105.25,101.15,104.2,104.35,2.29739E+14,78669
05-04-2021,ONGC,102.15,104.5,99.4,103.3,103.45,2.53776E+14,99549
06-04-2021,ONGC,102.65,104.4,101.3,103.7,103.95,1.56557E+14,59985
07-04-2021,ONGC,103.9,105.35,103.45,104.65,104.65,1.08037E+14,46005
08-04-2021,ONGC,103.8,105.7,103.3,103.6,103.6,2.73056E+14,63108
09-04-2021,ONGC,103,104.9,103,104,103.8,1.83615E+14,67541
12-04-2021,ONGC,100.85,102.25,97.45,98.35,98.05,2.67902E+14,114023
13-04-2021,ONGC,98.05,102.5,98.05,102,102.05,2.59211E+14,88964
15-04-2021,ONGC,104.25,106.75,103.8,104.95,105.1,3.01342E+14,134293
16-04-2021,ONGC,104.6,107.85,104.2,107.2,107.3,2.30967E+14,77462
19-04-2021,ONGC,103.95,105.95,101.9,103.1,103.05,1.98162E+14,86283
20-04-2021,ONGC,103.3,105,102.2,103.6,102.85,2.39049E+14,70058
