Date,Symbol,Open,High,Low,Last,Close,Turnover,Trades
01-03-2021,ADANIENT,840.75,860.95,836.45,850,851.5,5.093E+14,77419
02-03-2021,ADANIENT,857.4,876.5,852.25,869.7,872.55,4.41412E+14,64705
03-03-2021,ADANIENT,880.45,944.9,872.85,916,915.35,1.06311E+15,162581
04-03-2021,ADANIENT,910,938.7,905.4,917,918.4,7.52782E+14,111078
05-03-2021,ADANIENT,918,934,888.3,911.2,909.9,6.4858E+14,103409
08-03-2021,ADANIENT,918.1,926.4,905.1,908.9,910.2,3.57165E+14,63631
09-03-2021,ADANIENT,918,928.4,893.6,900.9,905.2,5.07198E+14,79060
10-03-2021,ADANIENT,911,914.1,888.7,895.05,898.15,4.92479E+14,72031
12-03-2021,ADANIENT,905,923.8,889.3,892,894.1,5.49445E+14,83542
15-03-2021,ADANIENT,898.75,904,874.5,894.25,896.2,4.67415E+14,72245
16-03-2021,ADANIENT,900.7,904.4,888.05,898,897.8,2.29099E+14,38728
17-03-2021,ADANIENT,898,905.4,865,866.25,873.9,3.44071E+14,55924
18-03-2021,ADANIENT,876,891,857.75,874.8,871.05,3.91799E+14,56225
19-03-2021,ADANIENT,866,895.4,840.2,885.5,889.65,4.17466E+14,63473
22-03-2021,ADANIENT,892.9,1003,883.45,992.5,991.05,2.18234E+15,314562
23-03-2021,ADANIENT,999,1086.7,991.05,1060,1058.4,3.28932E+15,508458
24-03-2021,ADANIENT,1063,1093,1018.4,1020.35,1025.45,2.42541E+15,381907
25-03-2021,ADANIENT,1032.95,1041.45,977,981,981.55,1.31428E+15,213722
26-03-2021,ADANIENT,1000,1018.45,978,989.3,988.3,9.32525E+14,128071
30-03-2021,ADANIENT,1004,1042.45,988,1039.9,1031.55,1.06908E+15,144844
31-03-2021,ADANIENT,1038,1053.15,1016.6,1031,1031.15,6.65817E+14,101244
01-04-2021,ADANIENT,1043.4,1116.05,1035,1104.65,1107.2,1.37562E+15,216541
05-04-2021,ADANIENT,1127,1150,1098.85,1141,1138.25,1.78086E+15,298644
06-04-2021,ADANIENT,1153.4,1241,1142.5,1222.6,1225.4,2.58744E+15,357142
07-04-2021,ADANIENT,1233.4,1251.6,1108,1157.9,1165.55,2.71994E+15,456576
08-04-2021,ADANIENT,1162.5,1191,1137.75,1159.95,1162.5,1.44923E+15,255744
