Date,Open,High,Low,Last,Close,Turnover,Trades
2000-01-11,1550.0,1725.0,1492.0,1560.0,1554.45,188691461000000.0,
2000-01-12,1560.0,1678.85,1560.0,1678.85,1678.85,57143494500000.0,
2000-01-13,1790.0,1813.2,1781.0,1813.2,1813.2,9564879750000.0,
2000-01-14,1958.3,1958.3,1835.0,1958.3,1958.3,52561693250000.0,
2000-01-17,2115.0,2115.0,1801.65,1801.65,1801.65,85354733750000.0,
2000-01-18,1730.55,1815.0,1657.55,1775.0,1774.5,61772802000000.0,
2000-01-19,1815.0,1889.0,1760.0,1842.8,1851.15,58242040000000.0,
2000-01-20,1865.0,1865.0,1750.0,1753.5,1757.85,36874092500000.0,
2000-01-21,1761.0,1815.0,1705.0,1786.0,1781.35,50053604000000.0,
2000-01-24,1834.9,1923.9,1795.0,1923.9,1923.9,61633171750000.0,
2000-01-25,1990.0,2077.85,1990.0,2077.85,2077.85,64760104000000.0,
2000-01-27,2239.9,2239.9,1965.0,2078.0,2080.6,74071500250000.0,
2000-01-28,2100.0,2245.0,2020.2,2190.0,2196.95,78401974500000.0,
2000-01-31,2111.0,2200.0,2021.2,2021.2,2030.4,45346200500000.0,
2000-02-01,1981.2,2180.0,1981.2,2160.0,2162.25,55088342750000.0,
2000-02-02,2260.0,2260.0,2010.0,2035.0,2024.25,68115423250000.0,
2000-02-03,2075.0,2075.0,1915.2,1965.0,1956.5,34978205500000.0,
2000-02-04,1993.0,2064.0,1965.0,1977.0,1986.6,35445597500000.0,
2000-02-07,1985.0,2119.95,1960.05,2036.0,2062.95,56917908000000.0,
2000-02-08,2049.4,2060.0,1970.0,2014.0,1999.2,40160266750000.0,
2000-02-09,2100.0,2100.0,1975.0,1991.0,1999.0,36307632250000.0,
2000-02-10,1976.65,2014.8,1965.0,1990.0,1996.75,15311321250000.0,
2000-02-11,1998.0,2156.5,1992.0,2156.5,2156.5,35067806500000.0,
2000-02-14,2199.0,2329.05,2199.0,2329.05,2324.7,60806179250000.0,
2000-02-15,2350.0,2510.7,2210.0,2500.0,2508.4,54445856750000.0,
2000-02-16,2560.0,2560.0,2307.75,2418.0,2423.1,62903434500000.0,
2000-02-17,2445.0,2616.95,2380.0,2616.95,2614.7,69876089000000.0,
2000-02-18,2800.0,2823.9,2760.5,2771.0,2775.95,48680317250000.0,
2000-02-21,2823.0,2998.0,2725.0,2805.0,2819.15,43778295000000.0,
2000-02-22,2800.0,2875.0,2652.0,2710.0,2700.3,24469840000000.0,
2000-02-23,2825.0,2870.0,2484.3,2499.0,2548.8,19213496000000.0,
2000-02-24,2570.0,2650.0,2445.0,2455.0,2464.1,17106143250000.0,
2000-02-25,2498.0,2540.0,2280.0,2325.0,2317.3,17262041500000.0,
2000-02-28,2200.0,2300.0,2132.0,2261.0,2262.75,14869762000000.0,
2000-02-29,2325.0,2350.0,2081.75,2081.75,2081.75,18777450750000.0,
2000-03-01,2000.0,2248.3,1915.25,2248.3,2248.3,45634216000000.0,
2000-03-02,2399.0,2428.2,2350.0,2428.2,2428.2,17638339250000.0,
2000-03-03,2618.9,2622.5,2350.0,2402.0,2443.6,35411396250000.0,
2000-03-06,2500.0,2500.0,2248.15,2262.0,2249.75,11687192750000.0,
2000-03-07,2225.0,2269.0,2069.8,2069.8,2069.8,15502060750000.0,
2000-03-08,2000.0,2150.0,1940.0,1960.0,1975.4,24697236500000.0,
2000-03-09,1952.0,2085.0,1817.4,1870.0,1911.55,27258991250000.0,
2000-03-10,1902.0,1949.9,1770.0,1818.0,1798.9,12962078750000.0,
2000-03-13,1839.0,1915.0,1655.0,1655.0,1655.0,16323005000000.0,
2000-03-14,1650.0,1725.0,1522.6,1700.0,1667.75,19381270250000.0,
2000-03-15,1750.0,1801.2,1578.05,1801.2,1801.2,6386562750000.0,
2000-03-16,1945.0,1945.3,1945.0,1945.3,1945.3,1507601500000.0,
2000-03-21,2089.0,2100.95,2000.0,2100.95,2100.95,13945504250000.0,
2000-03-22,2269.05,2269.05,2269.05,2269.05,2269.05,1565644500000.0,
2000-03-23,2399.0,2450.0,2090.0,2180.0,2148.35,16274052250000.0,
2000-03-24,2055.0,2185.0,2031.0,2130.0,2123.35,23970359000000.0,
2000-03-27,2140.0,2205.0,1995.0,2110.0,2102.6,18171756500000.0,
2000-03-28,2082.0,2092.0,2000.0,2000.0,2004.5,10480134500000.0,
2000-03-29,2050.0,2098.0,2000.0,2022.0,2023.15,16028386250000.0,
2000-03-30,1950.0,1970.0,1861.3,1870.0,1865.15,7902204500000.0,
2000-03-31,1802.0,1803.0,1715.95,1733.5,1722.05,15175315250000.0,
2000-04-03,1799.0,1800.0,1584.3,1584.3,1584.3,11958354000000.0,
2000-04-04,1457.6,1457.6,1457.6,1457.6,1457.6,2477920000000.0,
2000-04-05,1341.0,1544.0,1341.0,1477.0,1495.15,17038609000000.0,
2000-04-06,1545.0,1614.8,1400.0,1614.8,1598.5,15694054000000.0,
2000-04-07,1698.0,1726.4,1698.0,1726.4,1726.4,3331810000000.0,
2000-04-10,1855.0,1864.55,1855.0,1864.55,1864.55,4269724000000.0,
2000-04-11,1864.55,2013.75,1720.0,1927.0,1893.8,42651263000000.0,
2000-04-12,1874.0,1944.0,1742.3,1742.3,1755.4,16980210000000.0,
2000-04-13,1617.2,1669.0,1615.0,1615.0,1615.0,7987457500000.0,
2000-04-17,1485.8,1485.8,1485.8,1485.8,1485.8,126293000000.0,
2000-04-18,1485.8,1550.0,1366.95,1385.0,1377.55,23669013000000.0,
2000-04-19,1449.0,1485.0,1267.35,1267.35,1267.95,16116933750000.0,
2000-04-20,1249.0,1369.4,1166.55,1369.4,1346.75,29362152000000.0,
2000-04-24,1400.0,1454.5,1400.0,1454.5,1454.5,5926287500000.0,
2000-04-25,1340.0,1570.9,1338.15,1570.9,1536.45,30494937500000.0,
2000-04-26,1649.0,1659.4,1577.0,1659.4,1659.4,3879160000000.0,
2000-04-27,1689.0,1709.0,1526.65,1526.65,1526.65,13635657750000.0,
2000-04-28,1534.5,1625.0,1425.0,1555.0,1558.0,27283813500000.0,
2000-05-02,1590.0,1590.0,1371.05,1371.05,1371.05,8018633750000.0,
2000-05-03,1262.0,1480.75,1206.55,1480.75,1424.05,22191586500000.0,
2000-05-04,1450.0,1585.0,1414.0,1537.0,1530.55,22738129000000.0,
2000-05-05,1550.0,1714.25,1540.0,1690.0,1701.65,27205552500000.0,
2000-05-08,1712.0,1809.0,1565.55,1599.0,1604.6,22998617000000.0,
2000-05-09,1568.2,1600.0,1481.1,1570.0,1568.65,19642225750000.0,
2000-05-10,1579.9,1629.85,1452.0,1478.0,1474.3,12381373250000.0,
2000-05-11,1362.05,1365.0,1297.4,1297.4,1297.4,19048476000000.0,
2000-05-12,1325.0,1325.0,1141.75,1185.0,1156.4,25811478000000.0,
2000-05-15,1110.0,1295.2,1032.0,1285.0,1274.15,23502039500000.0,
2000-05-16,1299.0,1376.1,1185.0,1376.1,1361.05,21056122000000.0,
2000-05-17,1420.0,1434.0,1252.2,1300.0,1278.9,62905940250000.0,
2000-05-18,1257.0,1320.0,1236.35,1300.0,1271.45,24826425000000.0,
2000-05-19,1251.0,1360.0,1181.0,1250.0,1208.2,29367641000000.0,
2000-05-22,1201.1,1215.0,1063.25,1063.25,1093.85,16691485250000.0,
2000-05-23,1025.0,1086.0,965.0,988.0,994.8,28630458750000.0,
2000-05-24,951.15,1074.4,926.0,1000.0,1001.1,30183465500000.0,
2000-05-25,1015.0,1081.0,1000.0,1026.0,1018.5,30925163750000.0,
2000-05-26,1015.0,1050.0,962.5,968.0,974.2,21111092500000.0,
2000-05-29,950.0,1039.0,902.0,985.0,984.9,21193825750000.0,
2000-05-30,998.0,1103.1,967.0,1103.1,1097.7,22257570500000.0,
2000-05-31,1185.5,1229.45,1185.5,1229.45,1229.45,4580774250000.0,
2000-06-01,1250.0,1250.0,1090.0,1120.0,1122.15,42329118000000.0,
2000-06-02,1159.0,1256.85,1155.0,1256.85,1256.85,30074536750000.0,
2000-06-05,1357.4,1407.7,1357.4,1407.7,1391.9,30202334250000.0,
