Date,Open,High,Low,Last,Close,Turnover,Trades
2021-03-01,114.3,117.65,113.5,117.65,117.05,484082984064999.94,183751
2021-03-02,115.9,116.65,112.75,114.05,113.5,414868905670000.0,151356
2021-03-03,114.05,115.8,113.2,114.25,114.0,221867225315000.0,86582
2021-03-04,113.95,117.0,112.3,113.0,112.7,437695810445000.0,146333
2021-03-05,116.25,118.25,113.5,115.4,114.95,670849562375000.0,229240
2021-03-08,118.95,122.35,117.2,118.75,118.25,765056407665000.0,266985
2021-03-09,119.4,119.55,114.2,117.0,116.75,312092761190000.0,113160
2021-03-10,116.9,117.0,113.6,114.6,114.4,272872094455000.03,101031
2021-03-12,116.75,117.4,114.0,115.2,115.05,239373128440000.0,92636
2021-03-15,116.0,116.85,112.8,114.2,114.35,225324604169999.97,82735
2021-03-16,113.8,116.3,113.45,115.4,115.1,238093091025000.0,74281
2021-03-17,114.8,114.85,108.75,109.65,109.35,346708665270000.0,129182
2021-03-18,110.0,112.2,107.5,109.85,110.2,293954548405000.0,100601
2021-03-19,106.25,113.25,104.45,110.4,110.5,549692752885000.06,179428
2021-03-22,110.5,111.25,108.55,109.5,109.6,173818922235000.0,69006
2021-03-23,109.6,110.3,106.6,107.35,107.15,171360918765000.0,84665
2021-03-24,105.0,106.0,102.85,105.5,104.8,324471096080000.0,137209
2021-03-25,106.0,107.7,101.3,102.0,102.0,389438898730000.0,145265
2021-03-26,103.0,104.0,100.25,102.65,102.4,271671322505000.03,119045
2021-03-30,104.05,106.3,102.6,103.7,103.5,332433658500000.0,110924
2021-03-31,102.8,104.2,101.9,102.2,102.15,201360680475000.0,82697
2021-04-01,103.0,105.25,101.15,104.2,104.35,229739417485000.0,78669
2021-04-05,102.15,104.5,99.4,103.3,103.45,253775674019999.97,99549
2021-04-06,102.65,104.4,101.3,103.7,103.95,156557036095000.0,59985
2021-04-07,103.9,105.35,103.45,104.65,104.65,108036941395000.0,46005
2021-04-08,103.8,105.7,103.3,103.6,103.6,273055681550000.0,63108
2021-04-09,103.0,104.9,103.0,104.0,103.8,183614565060000.0,67541
2021-04-12,100.85,102.25,97.45,98.35,98.05,267901643060000.0,114023
2021-04-13,98.05,102.5,98.05,102.0,102.05,259211210294999.97,88964
2021-04-15,104.25,106.75,103.8,104.95,105.1,301341646520000.0,134293
2021-04-16,104.6,107.85,104.2,107.2,107.3,230967028335000.0,77462
2021-04-19,103.95,105.95,101.9,103.1,103.05,198161511495000.0,86283
2021-04-20,103.3,105.0,102.2,103.6,102.85,239048712025000.0,70058
2021-04-22,102.4,104.45,101.65,103.1,103.1,153418932845000.0,61525
2021-04-23,102.0,103.65,101.6,102.5,102.4,131057428920000.0,43187
2021-04-26,105.25,105.7,102.5,102.8,102.8,122535517015000.02,63132
2021-04-27,102.8,104.0,102.8,103.3,103.2,91897683400000.0,46923
2021-04-28,103.75,104.4,103.3,104.05,103.9,71560809115000.0,33659
2021-04-29,104.9,105.9,103.55,104.3,104.05,156487555515000.0,54416
2021-04-30,104.15,112.7,103.3,108.2,108.15,893263183745000.1,248419
2021-05-03,108.15,110.7,106.0,107.6,107.7,364913024620000.0,111378
2021-05-04,108.0,110.3,107.7,109.25,109.65,336250065710000.0,86593
2021-05-05,112.4,114.0,110.5,111.3,111.1,532585937760000.06,140307
2021-05-06,112.3,112.85,109.45,110.25,110.25,289648396360000.0,79246
2021-05-07,110.85,112.35,109.65,111.55,111.45,310364132700000.0,76644
2021-05-10,113.85,114.95,112.5,114.0,113.9,382118945210000.0,115860
2021-05-11,112.55,118.7,110.75,118.0,118.1,557088988114999.94,149001
2021-05-12,118.7,121.15,113.7,115.15,115.1,585898434710000.0,161288
2021-05-14,116.0,116.0,111.55,113.0,112.95,267145259205000.03,89090
2021-05-17,113.95,115.4,112.25,114.5,114.25,227159485225000.0,70322
2021-05-18,115.0,117.5,114.3,116.0,116.1,340624611510000.0,97839
2021-05-19,114.5,115.8,113.4,114.95,114.9,289557845960000.0,94500
2021-05-20,113.45,114.7,111.2,111.6,111.8,237403996569999.97,82901
2021-05-21,111.05,114.05,111.05,112.75,112.75,231549570380000.03,83398
2021-05-24,113.25,113.95,110.85,112.95,113.05,278881692985000.0,83969
2021-05-25,114.4,117.1,113.7,114.6,114.6,297810698420000.0,103681
2021-05-26,115.4,115.4,113.0,113.5,113.35,137416747420000.0,47484
2021-05-27,113.0,113.65,111.3,111.85,111.85,256210270955000.03,80522
2021-05-28,113.2,115.55,111.85,112.75,112.35,219249257665000.0,75104
2021-05-31,112.5,114.35,111.4,113.5,113.65,185857797520000.0,60559
2021-06-01,114.35,118.45,114.2,117.55,117.6,604743214425000.0,200549
2021-06-02,118.0,119.4,116.0,117.55,117.75,318800442970000.0,119534
2021-06-03,118.8,123.8,118.45,123.65,122.5,779031560845000.0,246771
2021-06-04,124.6,126.7,123.35,125.15,125.45,905435384200000.0,242213
2021-06-07,126.95,127.5,124.9,125.5,125.15,362667006835000.0,119563
2021-06-08,125.75,125.9,122.65,125.0,124.8,189450653225000.0,71600
2021-06-09,127.0,128.0,123.05,124.45,124.05,373545000665000.0,114983
2021-06-10,123.75,124.8,122.45,124.05,123.95,151812061030000.0,57237
2021-06-11,123.95,126.6,122.5,123.6,123.55,228204657880000.03,90357
2021-06-14,124.4,125.8,121.25,125.0,124.8,243231961485000.0,99597
2021-06-15,125.6,128.5,124.85,125.75,125.35,415516892765000.0,128447
2021-06-16,127.0,128.25,126.1,126.7,126.7,402366025175000.0,116004
2021-06-17,125.6,127.0,123.5,125.35,125.1,226736640650000.0,65333
2021-06-18,124.55,124.55,118.9,120.75,120.25,1059806128329999.9,159172
2021-06-21,119.4,122.0,118.95,121.1,120.95,189045769800000.0,66054
2021-06-22,122.7,124.2,121.5,122.0,122.05,290821850895000.0,90604
2021-06-23,123.5,124.4,121.75,123.25,123.35,269479037280000.03,76497
2021-06-24,124.45,124.45,121.35,122.45,122.0,298651629755000.0,88859
2021-06-25,122.95,124.95,120.35,121.1,120.9,422800908750000.0,137023
2021-06-28,122.55,124.5,121.8,122.55,122.35,292139065390000.0,106053
2021-06-29,121.8,122.45,119.1,119.75,119.4,251013354565000.0,98860
2021-06-30,120.35,120.95,117.05,117.85,117.7,227400488755000.03,89622
2021-07-01,117.75,119.75,117.3,118.9,118.85,189517640445000.0,76174
2021-07-02,120.0,120.85,118.0,118.9,118.45,238953784600000.0,73116
2021-07-05,119.15,121.45,118.9,121.25,120.95,144518749315000.0,77714
2021-07-06,123.0,125.0,121.05,121.6,121.5,371220941885000.0,118671
2021-07-07,119.9,120.4,117.8,120.1,119.9,219726232060000.0,72312
2021-07-08,119.4,119.4,116.85,117.1,117.05,202416827200000.0,68941
2021-07-09,117.1,118.65,116.6,118.1,117.9,132512416290000.02,54788
2021-07-12,119.0,119.35,118.0,118.45,118.55,99888732340000.0,41267
2021-07-13,119.0,120.8,118.6,120.7,120.4,102815231990000.0,47853
2021-07-14,120.3,121.75,120.1,120.45,120.8,153960797665000.0,55857
2021-07-15,119.2,119.4,116.2,117.1,116.9,335066221510000.0,186280
2021-07-16,117.2,117.4,115.75,116.55,116.8,229879794705000.03,80855
2021-07-19,114.8,116.55,114.2,114.7,114.6,165842089285000.0,67107
2021-07-20,112.05,113.25,111.6,112.65,112.6,209534849155000.0,88679
2021-07-22,114.4,115.8,113.95,115.4,115.5,134548766395000.0,57635
2021-07-23,115.5,116.75,114.75,115.15,115.3,90578986000000.0,48167
2021-07-26,114.85,115.6,114.1,114.9,114.55,93438171195000.0,40189
2021-07-27,115.35,115.9,114.0,114.7,114.65,111517104059999.98,46667
2021-07-28,114.9,115.2,113.45,114.3,114.35,126056117940000.02,48477
2021-07-29,114.3,115.8,113.3,114.75,114.75,162314922310000.0,53471
2021-07-30,114.3,116.75,113.8,115.8,115.3,141135025155000.0,55577
2021-08-02,114.95,117.5,114.8,117.45,117.1,126990539775000.0,61642
2021-08-03,116.15,118.2,115.15,117.6,117.9,176900961585000.0,77706
2021-08-04,117.7,118.5,116.6,117.4,117.35,167997740655000.0,47071
2021-08-05,116.2,117.25,114.7,116.6,116.85,128211281545000.0,50504
2021-08-06,116.15,118.2,116.15,116.65,116.65,77225226065000.0,38286
2021-08-09,116.0,117.0,114.3,115.0,115.0,95834280680000.0,52445
2021-08-10,115.1,115.7,113.9,115.0,114.85,164237616145000.0,55816
2021-08-11,115.5,117.3,114.85,117.15,117.0,131469408290000.02,59992
2021-08-12,116.1,117.9,115.3,116.4,116.25,157444463885000.0,64125
2021-08-13,116.8,116.95,115.35,116.2,116.1,120009910030000.0,54129
2021-08-16,116.9,118.35,114.7,115.3,115.5,171650413445000.0,65733
2021-08-17,116.0,116.0,112.7,114.1,113.85,182957797555000.0,61271
2021-08-18,113.9,115.25,112.9,113.15,113.2,114835235445000.0,45346
2021-08-20,110.65,111.75,108.5,109.7,110.2,263220597725000.0,104663
2021-08-23,110.35,112.0,108.5,111.95,111.75,186174490815000.0,73506
2021-08-24,113.15,115.2,112.1,113.25,113.2,197066280430000.0,73347
2021-08-25,113.5,117.2,113.3,115.9,115.65,215788742215000.0,67735
2021-08-26,115.6,116.25,114.4,115.4,115.55,101256375330000.0,37699
2021-08-27,115.5,117.0,114.95,116.6,116.65,112682963370000.0,42874
2021-08-30,116.75,120.4,116.75,120.1,120.15,189696299740000.0,68977
2021-08-31,120.0,121.0,119.05,120.35,120.55,160703759340000.0,56393
2021-09-01,121.8,122.25,119.4,119.65,119.7,131912487425000.0,70643
