Date,Stock,Open,High,Low,Last,Close,Volume,Turnover,Trades
1996-01-01,TATAPOWER,120.0,120.85,119.05,,120.5,3200,38417000000.0,
1996-01-02,TATAPOWER,120.5,121.65,118.1,,119.0,17000,203633000000.0,
1996-01-03,TATAPOWER,119.0,120.2,118.05,,118.25,10100,120432500000.0,
1996-01-04,TATAPOWER,118.25,118.0,115.6,,116.5,7500,87605250000.0,
1996-01-05,TATAPOWER,116.5,119.0,115.0,,118.8,10950,128404250000.0,
1996-01-08,TATAPOWER,118.8,120.75,117.25,,119.8,83350,998033500000.0,
1996-01-09,TATAPOWER,119.8,122.5,117.0,,121.55,30450,362080500000.0,
1996-01-10,TATAPOWER,121.55,122.65,119.05,,120.5,73800,897767750000.0,
1996-01-11,TATAPOWER,120.5,126.0,120.5,,124.9,24250,299947250000.0,
1996-01-12,TATAPOWER,124.9,127.75,125.0,,127.4,119450,1519137250000.0,
1996-01-15,TATAPOWER,127.4,127.65,124.5,,127.6,112050,1428103000000.0,
1996-01-16,TATAPOWER,127.6,126.2,124.15,,125.75,28850,361527250000.0,
1996-01-17,TATAPOWER,125.75,127.0,123.5,,124.15,83750,1049464250000.0,
1996-01-18,TATAPOWER,124.15,126.0,120.1,,125.55,92600,1155527750000.0,
1996-01-19,TATAPOWER,123.05,126.85,123.05,,126.05,120350,1515074000000.0,
1996-01-22,TATAPOWER,127.0,127.0,124.15,,124.3,18800,234542750000.0,
1996-01-23,TATAPOWER,124.3,126.0,123.5,,125.75,21200,264197500000.0,
1996-01-24,TATAPOWER,125.75,125.65,124.0,,125.65,66800,837719000000.0,
1996-01-25,TATAPOWER,125.65,126.0,124.5,,125.0,30050,377189250000.0,
1996-01-29,TATAPOWER,125.0,127.5,124.05,,127.0,33550,423680500000.0,
1996-01-30,TATAPOWER,127.0,129.0,126.3,,127.65,68050,869483000000.0,
1996-01-31,TATAPOWER,127.65,129.0,125.55,,128.0,114650,1459453500000.0,
1996-02-01,TATAPOWER,128.0,130.0,127.5,,129.45,51650,666774250000.0,
1996-02-02,TATAPOWER,129.45,138.5,132.0,,137.05,189400,2587127250000.0,
1996-02-05,TATAPOWER,137.05,141.0,134.8,,136.05,236000,3220050500000.0,
1996-02-06,TATAPOWER,136.05,138.7,133.05,,135.85,93350,1281587500000.0,
1996-02-07,TATAPOWER,135.85,139.0,134.0,,135.9,25950,355437250000.0,
1996-02-08,TATAPOWER,135.9,148.9,137.0,,145.6,76750,1100484250000.0,
